Query ID,Model,Rank,Doc ID,Cosine score,Lexical overlap,Passage preview
q_0003,all-MiniLM-L6-v2,1,doc_00003,0.791,0.857,"All radioactive decay is dangerous to living things, but alpha decay is the least dangerous...."
q_0003,all-MiniLM-L6-v2,2,doc_06010,0.6577,0.857,"All types of radioactive decay pose risks to living things, but alpha decay is the least dangerous. That’s because alpha particles are relatively heavy, so they can travel only a few centimeters through the air. They also are not very penet..."
q_0003,all-MiniLM-L6-v2,3,doc_01506,0.6237,0.714,"Radioactive decay is the process in which unstable nuclei become stable by emitting particles and energy and changing to different elements. There are three types of radioactive decay: alpha, beta, and gamma decay. Each differs in what is e..."
q_0003,all-MiniLM-L6-v2,4,doc_09445,0.6227,0.571,"Radioactive decay is the breakdown of unstable isotopes into stable elements. For example, carbon-14 is an unstable isotope of carbon that decays to the stable element nitrogen-14. The rate of decay of an isotope is measured in half-lives. ..."
q_0003,all-MiniLM-L6-v2,5,doc_04967,0.6093,0.571,"When an atomic nucleus decays, it does so by releasing one or more particles. The atom often (but not always) turns into a different element during the decay process. The amount of radiation given off by a certain sample of radioactive mate..."
q_0003,multi-qa-mpnet-base-dot-v1,1,doc_00003,0.8236,0.857,"All radioactive decay is dangerous to living things, but alpha decay is the least dangerous...."
q_0003,multi-qa-mpnet-base-dot-v1,2,doc_06010,0.7129,0.857,"All types of radioactive decay pose risks to living things, but alpha decay is the least dangerous. That’s because alpha particles are relatively heavy, so they can travel only a few centimeters through the air. They also are not very penet..."
q_0003,multi-qa-mpnet-base-dot-v1,3,doc_03644,0.6666,0.143,Elements involved in nuclear reactions are radioactive. How do you think radioactive elements differ from other elements?....
q_0003,multi-qa-mpnet-base-dot-v1,4,doc_04901,0.6545,0.429,Gamma rays are the most dangerous type of radiation. They can travel farther and penetrate materials more deeply than can the charged particles emitted during alpha and beta decay. Gamma rays can be stopped only by several centimeters of le...
q_0003,multi-qa-mpnet-base-dot-v1,5,doc_08034,0.6478,0.429,"There are several types of radioactive decay, including alpha, beta, and gamma decay. In all three types, nuclei emit radiation, but the nature of the radiation differs. The Table below shows the radiation emitted in each type of decay. You..."
q_0026,all-MiniLM-L6-v2,1,doc_00026,0.7997,0.667,Geologic maps display rock units and geologic features. A small scale map displays individual rock units while a large scale map shows geologic provinces....
q_0026,all-MiniLM-L6-v2,2,doc_07546,0.6246,0.083,Geologic maps detail the types and locations of rocks found in an area....
q_0026,all-MiniLM-L6-v2,3,doc_01308,0.5862,0.417,"A geologic map shows the different rocks that are exposed at the surface of a region. Rock units are shown in a color identified in a key. On the geologic map of the Grand Canyon, for example, different rock types are shown in different col..."
